"2","Just like every woman on the planet. Men are wimps! Especially sick poorly man flu men. https:// twitter.com/tvmojoe/status /775487545362690048 …"
"2","I'm also getting sick . It's flu season is nearing. People are starting to wear sweaters. And turning off air condition airs."
"0","Horrible way to start the week feeling sick . Chilly, feverish, nausea, giddy, flu ... Nooooooooooooo"
"2","ahhh sick lil bitch got the flu"
"0","damn how many Americans hav had the flu and did not get out od bed give her ctedit she made it out of her hm sick and yall.still bit@##"
"0","My arm is killing me like ive been lifting all day stupid flu shot, i BETTER not get sick"
"2","@PEEPSPOLITICAL CLINTONS FLU COOP DIAGNOSED & CONTAMINATED ALL REPORTERS GOT SICK BY CLINTON > BLEACHED & HAMMERED?? https:// lnkd.in/dsNMvKm"
"2","gotta flu shot the other day and I'm sick ?"
"0","but I'm sick as fuck bc of this stupid flu shot SMFH"
"0","there must! My mom just got over the flu , kids and workers at work are all sick too"
"2","@CNN I want every reporter to note on every sick day, flu day, bout of pneumonia, colonoscopy etc. because it might impact your reporting!"
"0","omggggg i get sick w the flu and now im like 5 months behind in school"
"2","I'm excited for hoco, but I don't think everyone's ready to get the flu the next day like last year STAY HOME IF YOURE SICK"
"0","What does Hillary being sick have to do with stamina? Michael Jordan caught the flu during the playoffs. Did he not have stamina? @CNN"
"2","Like  Flu sick ""'or ""cold/allergy sick ?"""""
"2","I'm sick lil bitch got the flu ahh"
"2","Being sick with with the flu is a bitch esp in this hot beautiful weather!"
"2","Also, get a flu shot if you're around people with compromised immune systems or just don't want to get sick ! https:// twitter.com/humidbeing/sta tus/775486637073543169 …"
"0","I've gone to school &/or work with mono, bronchitis, sinus infections, colds, flu , broken bones. Sick leave was not an option."
"0","Cold and flu sucks #bleh #sick"
"0","I'm feeling so sick , I think I have the flu . Somebody pray for me󾍛 I can't remember the last time I felt this bad!󾍀󾍀󾍀"
"2","NEW! How Not To Get Sick This Cold and Flu Season http://www. timgamble.com/2016/09/how-no t-to-get-sick-this-cols-and-flu.html … #prepper #tcot #survival #preppertalk #health #family"
"2","i got my flu shot today and if i get sick ima be pissed"
"2","The media has no common sense. She has pneumonia, not cancer. I don't alert friends & family when I'm sick w/ pneumonia/ flu /cold."
"0","This is not my greatest day. I'm pretty sure I have the flu . I'm going to bed early tonight. #Monday #sick"
"2","Since flu season is coming, maybe it's time to talk to how to stay safe from it & pneumonia (given others sick in Clinton camp). @CNN"
"2","Lol school starts next week and I'm 62% positive that I am sick with the flu"
"0","its so ironic how im give flu shots at work but im sick as fuck and i proba have the flu"
"0","I swear these guys came back from ATL with the Wook flu ... Shit I didn't go to ATL and I'm sick now"
"2","When U catch your hair blowing in the wind. My colorist game is sick like the flu 󾌮 not just a makeup artist... http:// fb.me/5X8ImeKtB"
"0","Speaking of no sick days for Mommy, it's been a rough day....feels like flu ."
"2","@cnn @outfront Bill Clinton is certainly referring to Hillary getting sick with flu /dehydration and fainting in 2012."
"2","@egumeny read the @nytimes article. Well done. Home sick with the flu , want to buy everything you have ever written."
